0.0364,0.0827,25.05
0.0364,0.0041,29.76
0.0545,0.0336,31.55
0.0818,0.0685,34.28
0.1545,0.1926,31.39
0.2273,0.316,26.95
0.4545,0.4016,25.62
1,1,22.68
0.5636,0.5532,23.59
0.2,0.3052,23.56
0.1273,0.0021,25.74
0.0182,0.0489,24.47
0.0769,0.01,24.61
0.0385,0.0071,28.02
0.0385,0.3379,28.13
0.0385,0.6148,28.35
0.4231,0.8178,24.55
1,0.698,22.95
0.7692,0.8449,26.7
0.6154,0.9241,23.37
0.3846,1,24.18
0.0385,0.386,24.99
0.0769,0.0292,25.52
0.1154,0.0047,24.3
0.0158,0.0321,25.41
0,0.0139,28.93
0.0053,0.1392,30.64
0.1105,0.327,31.36
0.3053,1,27.67
1,0.3211,23.17
0.9684,0.4536,23.61
0.7,0.461,23.28
0.2368,0.7824,22.59
0.1895,0.1978,24.96
0.0737,0.151,23.83
0,0.0161,25.13
0.042,0.136,24.83
0.0252,0.0686,27.86
0.1639,0.0485,30.53
0.2143,0.2437,32.3
0.5672,0.4231,27.83
1,0.4795,26.48
0.8866,0.5552,24.74
0.6849,1,22.84
0.3361,0.7515,23.09
0.1387,0.4418,24.91
0.0882,0.1169,24.03
0.0084,0.0859,22.59
0.0377,0.0039,24.55
0.0472,0.0111,28.41
0.0189,0.0693,32.3
0.066,0.3983,31.25
0.2075,0.8077,27.78
0.5377,0.7116,25.13
1,0.8861,24.19
0.6792,1,23.17
0.2925,0.7575,23.59
0.0755,0.3575,24.88
0.0943,0.2085,25.71
0.0189,0.0039,25.1
0.0027,0.3083,24.69
0.008,0.0402,27.53
0.0187,0.2216,31.83
0.0533,0.4835,32.19
0.2507,0.4813,29.21
0.536,0.4121,27
0.8587,0.7814,26.15
1,1,24.74
0.552,0.7925,23.83
0.128,0.445,24.85
0.12,0.1036,26.73
0.064,0.2986,24.85
